directorio,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
7788635,1,1,1,1,4,1,1
7788636,1,1,1,1,6,2,2
7788637,1,1,1,1,4,2,1
7788638,1,1,1,1,4,1,1
7788640,1,1,2,3,4,1,1
7788642,1,1,1,1,6,1,1
7788644,1,1,2,1,4,2,1
7788645,1,1,2,1,6,1,1
7788647,1,1,2,1,4,1,1
7788648,1,1,1,5,6,2,1
7788650,1,1,1,1,4,1,1
7788651,1,1,2,1,6,2,2
7788654,1,1,1,1,4,1,1
7788655,1,1,2,5,2,2,2
7788656,1,1,2,3,4,1,1
7788657,1,1,1,1,6,2,1
7788658,1,1,2,9,7,2,2
7788659,1,1,1,1,4,1,1
7788660,1,1,2,1,6,1,1
7788661,1,1,1,1,6,2,1
7788662,1,1,2,3,6,1,1
7788663,1,1,3,1,6,2,2
7788664,1,1,1,1,6,1,1
7788665,1,1,3,5,6,2,2
7788666,1,1,1,1,6,2,1
7788668,1,1,1,1,4,2,1
7788669,1,1,2,1,6,1,1
7788670,1,1,1,1,4,1,1
7788671,1,1,1,1,6,1,1
7788672,1,1,2,1,4,1,1
7788673,1,1,3,1,6,2,1
7788674,1,1,1,1,4,1,1
7788675,1,1,2,1,4,1,1
7788676,1,1,2,1,4,1,1
7788677,1,1,1,1,4,1,1
7788678,1,1,1,1,4,1,1
7788679,1,1,1,2,4,1,1
7788680,1,1,2,1,4,1,1
7788681,1,1,3,1,6,2,1
7788682,1,1,1,1,6,1,1
7788683,1,1,3,1,4,2,2
7788684,1,1,1,1,4,1,1
7788685,1,1,3,3,7,2,2
7788686,1,1,1,1,4,1,1
7788688,1,1,1,1,4,1,1
7788689,1,1,2,1,6,1,1
7788690,1,1,1,1,6,1,1
7788691,1,1,2,1,4,1,1
7788692,1,1,1,1,6,1,1
7788693,1,1,1,1,4,1,1
7788694,1,1,3,9,7,2,2
7788695,1,1,2,1,6,2,2
7788696,1,1,1,1,4,2,1
7788698,1,1,1,1,4,1,1
7788699,1,1,1,1,6,1,1
7788700,1,1,2,1,7,2,1
7788701,1,1,1,10,7,2,2
7788703,1,1,2,1,4,1,1
7788704,1,1,1,9,6,2,2
7788705,1,1,1,1,6,2,2
7788706,1,1,1,1,6,1,1
7788707,1,1,2,1,6,2,1
7788711,1,1,1,1,4,1,1
