DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;P3;P4005;P4015;P8520S3;P8520S5
7000582;1;1;1;1;4;1;1
7000583;1;1;1;1;6;1;1
7000584;1;1;1;1;6;1;1
7000585;1;1;1;1;6;1;1
7000587;1;1;1;1;4;1;1
7000588;1;1;1;1;4;1;1
7000589;1;1;1;1;4;1;1
7000590;1;1;1;1;4;1;1
7000591;1;1;1;1;4;1;1
7000592;1;1;1;1;4;1;1
7000593;1;1;1;1;4;1;1
7000594;1;1;1;1;6;1;1
7000596;1;1;1;1;4;1;1
7000597;1;1;1;1;4;1;1
7000598;1;1;1;1;4;1;1
7000599;1;1;1;1;4;1;1
7000600;1;1;1;1;4;1;1
7000601;1;1;1;1;4;1;1
7000602;1;1;1;1;4;1;1
7000603;1;1;1;1;4;1;1
7000604;1;1;1;1;4;1;1
7000605;1;1;1;1;4;1;1
7000606;1;1;1;1;4;1;1
7000607;1;1;1;1;4;1;1
7000608;1;1;1;1;4;1;1
7000609;1;1;1;1;4;1;1
7000610;1;1;1;1;4;1;1
7000611;1;1;1;1;6;1;1
7000612;1;1;1;1;6;1;1
7000613;1;1;1;1;6;1;1
7000614;1;1;1;1;4;1;1
7000615;1;1;1;1;4;1;1
7000616;1;1;1;1;6;1;1
7000617;1;1;1;1;4;1;1
7000618;1;1;1;1;4;1;1
7000619;1;1;1;1;4;1;1
7000620;1;1;1;1;4;1;1
7000621;1;1;1;1;4;1;1
7000622;1;1;1;1;4;1;1
7000623;1;1;1;1;4;1;1
7000624;1;1;1;1;4;1;1
7000625;1;1;1;1;4;1;1
7000626;1;1;1;1;4;1;1
7000627;1;1;1;1;2;1;1
7000628;1;1;1;1;2;1;1
7000629;1;1;1;1;4;1;1
7000630;1;1;1;1;4;1;1
7000632;1;1;1;1;4;1;1
7000633;1;1;1;1;4;1;1
7000634;1;1;1;1;4;1;1
7000635;1;1;1;5;6;1;1
7000636;1;1;1;1;4;1;1
7000637;1;1;1;1;4;1;1
7000638;1;1;1;1;4;1;1
7000639;1;1;1;1;4;1;1
7000640;1;1;1;1;4;1;1
7000641;1;1;1;1;4;1;1
7000642;1;1;1;1;4;1;1
7000643;1;1;1;1;4;1;1
7000644;1;1;1;1;4;1;1
7000645;1;1;1;1;6;1;1
7000646;1;1;1;1;4;1;1
7000647;1;1;1;1;4;1;1
7000648;1;1;1;1;4;1;1
7000650;1;1;1;1;6;1;1
7000651;1;1;1;1;4;1;1
7000653;1;1;1;1;6;1;1
7000654;1;1;1;1;4;1;1
7000655;1;1;1;1;6;1;1
7000656;1;1;1;1;4;1;1
7000657;1;1;1;1;4;1;1
7000658;1;1;1;1;4;1;1
7000659;1;1;1;1;4;1;1
7000660;1;1;1;1;4;1;1
7000661;1;1;1;1;4;1;1
7000662;1;1;1;1;4;1;1
7000663;1;1;1;5;7;1;1
7000664;1;1;1;1;6;1;1
7000665;1;1;1;1;4;1;1
7000666;1;1;1;1;4;1;1
7000667;1;1;1;1;6;1;1
7000669;1;1;3;1;6;2;2
7000670;1;1;3;1;4;2;2
7000671;1;1;3;8;7;2;2
7000672;1;1;3;1;6;2;2
7000673;1;1;3;4;7;2;2
7000674;1;1;3;8;7;2;2
7000675;1;1;3;1;6;2;2
7000677;1;1;2;1;4;2;1
7000678;1;1;2;1;6;2;1
7000679;1;1;2;1;4;2;1
7000680;1;1;2;1;6;2;1
7000681;1;1;2;1;4;2;1
7000682;1;1;2;1;4;2;2
7000683;1;1;2;1;4;2;1
7000684;1;1;2;1;4;2;1
7000685;1;1;2;1;4;2;1
7000686;1;1;2;1;4;2;1
7000687;1;1;2;1;4;2;1
7000688;1;1;2;1;4;2;1
7000689;1;1;2;1;4;2;1
7000690;1;1;2;1;4;2;1
7000691;1;1;1;1;4;1;1
7000692;1;1;1;1;6;1;1
7000693;1;1;1;1;4;1;1
7000694;1;1;1;1;6;1;1
7000695;1;1;1;1;4;1;1
7000696;1;1;1;1;4;1;1
7000698;1;1;1;1;6;2;1
7000700;1;1;1;1;4;1;1
7000701;1;1;1;1;6;1;1
7000702;1;1;1;1;4;1;1
7000703;1;1;1;1;4;1;1
7000704;1;1;1;1;4;1;1
7000705;1;1;1;1;4;1;1
7000706;1;1;1;1;4;1;1
7000707;1;1;1;1;4;1;1
7000708;1;1;1;1;4;1;1
7000709;1;1;1;1;4;1;1
7000710;1;1;1;1;4;1;1
7000711;1;1;1;1;4;1;1
7000712;1;1;1;1;4;1;1
7000713;1;1;2;1;6;2;2
7000714;1;1;2;1;6;2;2
7000716;1;1;2;1;4;2;2
7000717;1;1;2;1;4;2;2
7000718;1;1;2;5;6;2;2
7000719;1;1;2;1;4;2;2
7000720;1;1;2;1;6;2;2
7000722;1;1;1;1;6;1;1
7000723;1;1;1;5;6;1;1
7000724;1;1;1;1;6;1;1
7000725;1;1;1;1;4;1;1
7000726;1;1;1;1;4;1;1
7000727;1;1;1;1;4;1;1
7000728;1;1;1;1;4;1;1
7000729;1;1;1;1;4;1;1
7000730;1;1;1;1;4;1;1
7000731;1;1;1;1;4;1;1
7000732;1;1;1;1;4;1;1
7000733;1;1;1;1;4;1;1
7000735;1;1;1;1;4;1;1
7000736;1;1;1;1;4;1;1
7000737;1;1;1;1;4;1;1
7000738;1;1;1;1;4;1;1
7000740;1;1;1;1;4;1;1
7000741;1;1;1;1;4;1;1
7000742;1;1;1;1;4;1;1
7000744;1;1;1;1;4;1;1
7000745;1;1;1;1;4;1;1
7000746;1;1;1;1;4;1;1
7000747;1;1;1;1;4;1;1
7000749;1;1;1;1;4;1;1
7000750;1;1;1;1;6;1;1
7000751;1;1;1;1;4;1;1
7000752;1;1;1;1;4;1;1
7000753;1;1;1;1;4;1;1
7000754;1;1;1;1;4;1;1
7000755;1;1;1;1;4;1;1
7000758;1;1;1;1;6;1;1
7000759;1;1;1;1;4;1;1
7000760;1;1;1;1;4;1;1
7000761;1;1;1;1;6;2;1
7000762;1;1;1;1;4;2;1
7000763;1;1;1;1;4;2;1
7000764;1;1;1;1;4;2;1
7000765;1;1;1;1;4;2;1
7000766;1;1;1;1;6;2;1
7000767;1;1;1;1;4;2;1
7000768;1;1;1;1;4;2;1
7000769;1;1;1;1;4;2;1
7000770;1;1;1;1;7;1;1
7000771;1;1;1;1;4;2;1
7000772;1;1;1;1;6;2;1
7000773;1;1;2;1;6;2;1
7000774;1;1;2;5;6;1;1
7000775;1;1;2;1;6;2;1
7000776;1;1;2;1;6;2;1
7000777;1;1;2;1;4;2;1
7000778;1;1;2;1;4;2;1
7000779;1;1;2;1;6;2;1
7000781;1;1;2;1;4;2;1
7000782;1;1;2;1;4;2;1
7000783;1;1;1;1;4;1;1
7000784;1;1;1;1;4;1;1
7000786;1;1;1;1;6;1;1
7000787;1;1;1;1;4;1;1
7000788;1;1;1;1;4;1;1
7000789;1;1;1;1;4;1;1
7000790;1;1;1;1;4;1;1
7000791;1;1;1;1;6;1;1
7000792;1;1;1;1;4;1;1
7000793;1;1;1;1;6;1;1
7000794;1;1;1;1;4;1;1
7000797;1;1;1;1;4;1;1
7000798;1;1;1;1;6;1;1
7000799;1;1;1;1;4;1;1
7000800;1;1;1;1;4;1;1
7000801;1;1;1;1;4;1;1
7000802;1;1;1;1;4;1;1
7000803;1;1;1;1;6;1;1
7000804;1;1;1;1;4;1;1
7000805;1;1;1;1;4;1;1
7000806;1;1;1;1;4;1;1
7000808;1;1;1;1;4;1;1
7000809;1;1;1;1;6;1;1
7000810;1;1;1;1;6;1;1
7000811;1;1;1;1;4;1;1
7000812;1;1;1;1;4;1;1
7000813;1;1;1;1;6;1;1
7000814;1;1;2;1;6;1;1
7000815;1;1;2;1;6;1;1
7000816;1;1;2;1;6;1;1
7000817;1;1;2;1;6;1;1
7000818;1;1;2;4;6;1;1
7000819;1;1;2;1;6;1;1
7000820;1;1;2;1;6;1;1
7000821;1;1;2;1;6;1;1
7000822;1;1;2;1;4;1;1
7000823;1;1;1;1;6;2;2
7000824;1;1;1;1;6;1;1
7000825;1;1;1;1;6;1;1
7000826;1;1;1;1;6;1;1
7000827;1;1;1;1;6;1;2
7000828;1;1;1;1;4;1;1
7000829;1;1;1;1;6;2;1
7000830;1;1;1;1;6;2;1
7000831;1;1;1;1;6;1;1
7000832;1;1;1;1;6;2;2
7000833;1;1;1;1;4;1;1
7000834;1;1;1;1;6;1;1
7000835;1;1;1;1;4;1;1
7000836;1;1;1;1;4;1;1
7000837;1;1;1;1;4;1;1
7000838;1;1;1;1;4;1;1
7000839;1;1;1;1;6;1;1
7000840;1;1;1;1;4;1;1
7000841;1;1;1;1;4;1;1
7000842;1;1;1;1;6;1;1
7000843;1;1;1;1;4;1;1
7000845;1;1;1;1;6;1;1
7000846;1;1;1;1;6;1;1
7000847;1;1;1;1;6;1;1
7000848;1;1;1;1;6;1;1
7000849;1;1;1;1;4;1;1
7000850;1;1;1;1;6;1;1
7000851;1;1;1;1;6;1;1
7000852;1;1;1;1;6;1;1
7000853;1;1;1;1;6;1;1
7000854;1;1;1;1;6;1;1
7000855;1;1;1;1;6;1;1
7000856;1;1;1;1;4;1;1
7000857;1;1;1;1;6;1;1
7000858;1;1;1;1;6;1;1
7000859;1;1;1;1;4;1;1
7000860;1;1;1;1;6;1;1
7000861;1;1;1;1;4;1;1
7000862;1;1;1;1;4;1;1
7000863;1;1;1;1;6;1;1
7000864;1;1;1;1;6;1;1
7000865;1;1;1;1;6;1;1
7000866;1;1;1;1;6;1;1
7000867;1;1;1;1;4;1;1
7000868;1;1;1;1;4;1;1
7000869;1;1;1;1;4;1;1
7000870;1;1;1;1;4;1;1
7000871;1;1;1;1;4;1;1
7000873;1;1;1;1;6;1;1
7000874;1;1;1;1;4;1;1
7000875;1;1;1;1;4;1;1
7000876;1;1;1;1;6;1;1
7000877;1;1;1;1;6;1;1
7000879;1;1;1;4;7;1;2
7000880;1;1;1;1;4;1;1
