DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;P3;P4005;P4015;P8520S3;P8520S5
7248218;1;1;1;1;6;1;1
7248219;1;1;1;1;4;1;1
7248225;1;1;1;1;4;1;1
7248226;1;1;1;1;4;1;1
7248228;1;1;1;1;4;1;1
7248229;1;1;1;1;4;1;1
7248230;1;1;1;1;4;1;1
7248232;1;1;1;1;2;1;1
7248233;1;1;1;1;4;1;1
7248234;1;1;1;1;1;1;1
7248235;1;1;1;1;4;1;1
7248236;1;1;1;1;5;1;1
7248239;1;1;1;1;4;1;1
7248240;1;1;1;1;4;1;1
7248242;1;1;1;1;2;1;1
7248243;1;1;1;1;4;1;1
7248244;1;1;1;1;4;1;1
7248245;1;1;1;1;6;1;1
7248247;1;1;1;1;4;1;1
7248248;1;1;1;1;4;1;1
7248250;1;1;1;1;4;1;1
7248253;1;1;1;1;6;1;1
7248254;1;1;1;6;4;1;1
7248256;1;1;1;1;4;1;1
7248257;1;1;2;5;5;1;1
7248258;1;1;2;1;4;2;1
7248262;1;1;2;1;4;1;1
7248264;1;1;2;1;6;1;1
7248266;1;1;1;1;4;1;1
7248267;1;1;1;1;4;1;1
7248268;1;1;1;1;4;1;1
7248269;1;1;1;1;4;1;1
7248270;1;1;1;1;4;1;1
7248271;1;1;1;1;4;1;1
7248272;1;1;1;1;6;1;1
7248273;1;1;1;1;4;1;1
7248275;1;1;1;1;4;1;1
7248276;1;1;1;1;6;1;1
7248277;1;1;1;1;4;1;1
7248278;1;1;1;1;6;1;1
7248280;1;1;1;1;6;2;1
7248281;1;1;1;1;6;1;1
7248282;1;1;1;1;4;1;1
7248285;1;1;1;1;4;1;1
7248286;1;1;1;1;6;1;1
7248287;1;1;1;1;6;1;1
7248288;1;1;1;1;4;1;1
7248290;1;1;1;1;4;1;1
7248291;1;1;1;1;4;1;1
7248292;1;1;1;5;4;1;1
