DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
7567717,1,1,1,1,4,1,1
7567720,1,1,1,1,6,1,1
7567722,1,1,1,1,4,1,1
7567723,1,1,1,1,6,1,1
7567724,1,1,1,1,4,1,1
7567725,1,1,1,1,4,1,1
7567726,1,1,1,1,6,1,1
7567727,1,1,1,1,4,1,1
7567728,1,1,1,1,4,1,1
7567729,1,1,1,1,4,1,1
7567730,1,1,1,1,4,1,1
7567733,1,1,1,1,4,1,1
7567734,1,1,1,1,4,1,1
7567735,1,1,1,1,4,1,1
7567736,1,1,1,1,4,1,1
7567737,1,1,1,1,4,1,1
7567738,1,1,1,1,1,1,1
7567739,1,1,1,1,4,1,1
7567741,1,1,1,1,4,1,1
7567742,1,1,1,1,6,1,1
7567743,1,1,1,1,4,1,1
7567744,1,1,1,1,4,1,1
7567745,1,1,1,1,4,1,1
7567746,1,1,1,1,4,1,1
7567747,1,1,1,1,4,1,1
7567749,1,1,1,1,4,1,1
7567751,1,1,1,1,4,1,1
7567754,1,1,3,1,4,2,1
7567755,1,1,3,1,6,2,1
7567756,1,1,3,1,4,2,1
7567757,1,1,3,1,4,2,1
7567758,1,1,3,1,4,2,1
7567759,1,1,3,1,4,1,1
7567760,1,1,3,1,4,2,1
7567761,1,1,3,1,6,2,1
7567762,1,1,3,1,4,2,1
7567763,1,1,3,1,4,2,1
7567765,1,1,3,1,4,2,1
7567766,1,1,3,1,6,2,1
7567767,1,1,3,1,6,2,1
7567768,1,1,3,1,4,1,1
7567769,1,1,3,1,4,2,1
7567770,1,1,3,1,4,1,1
7567771,1,1,3,1,4,1,1
7567772,1,1,3,1,4,1,1
7567773,1,1,3,1,4,1,1
7567774,1,1,3,1,6,2,2
7567775,1,1,3,1,6,2,2
7567776,1,1,3,1,7,2,2
7567777,1,1,3,1,6,2,2
7567778,1,1,3,1,6,2,2
7567780,1,1,3,1,6,2,2
7567781,1,1,3,1,6,2,2
7567782,1,1,3,1,6,2,2
7567783,1,1,3,1,6,2,2
7567784,1,1,3,2,7,2,1
7567785,1,1,3,1,6,2,1
7567786,1,1,3,1,6,2,1
7567787,1,1,3,2,6,2,1
7567788,1,1,3,1,7,2,1
7567789,1,1,3,2,6,2,1
7567790,1,1,3,1,4,2,1
7567791,1,1,3,1,4,2,1
7567793,1,1,3,1,6,2,1
7567794,1,1,3,1,4,2,1
7567795,1,1,3,1,6,2,1
7567796,1,1,3,1,6,2,1
7567797,1,1,3,1,4,2,1
7567798,1,1,3,2,7,2,2
7567800,1,1,3,1,6,2,1
7567801,1,1,3,2,7,2,1
7567802,1,1,3,1,7,2,1
7567803,1,1,3,1,6,2,1
7567804,1,1,3,2,6,2,1
7567805,1,1,3,1,6,2,1
7567806,1,1,3,1,4,2,1
7567807,1,1,3,1,6,2,1
7567808,1,1,3,2,7,2,1
7567809,1,1,3,1,6,2,1
7567810,1,1,3,1,6,2,2
7567811,1,1,3,2,7,2,1
7567812,1,1,3,1,7,2,1
7567813,1,1,3,2,6,2,1
7567814,1,1,3,1,6,2,1
7567815,1,1,3,2,6,2,1
7567816,1,1,3,2,7,2,1
7567818,1,1,3,1,6,2,1
7567819,1,1,3,1,6,2,1
7567820,1,1,3,2,6,2,1
7567821,1,1,3,1,4,2,1
7567823,1,1,3,1,4,2,1
7567824,1,1,3,1,6,2,1
7567825,1,1,3,1,6,2,1
7567826,1,1,3,1,6,2,1
7567827,1,1,3,2,7,2,1
7567828,1,1,3,3,7,2,1
7567829,1,1,3,2,6,2,1
7567830,1,1,3,1,4,2,1
7567832,1,1,3,1,6,2,2
7567833,1,1,1,1,4,1,1
7567834,1,1,1,1,4,1,1
7567835,1,1,1,1,4,1,1
7567836,1,1,1,1,4,1,1
7567837,1,1,1,1,6,1,1
7567838,1,1,1,2,6,1,1
7567839,1,1,1,1,6,1,1
7567840,1,1,1,1,4,1,1
7567841,1,1,1,1,4,1,1
7567842,1,1,1,1,4,1,1
7567843,1,1,1,1,6,1,1
7567844,1,1,1,1,4,1,1
7567845,1,1,1,1,6,1,1
7567846,1,1,1,1,6,1,1
7567847,1,1,1,1,6,1,1
7567848,1,1,1,1,6,1,1
7567849,1,1,1,1,6,1,1
7567850,1,1,1,1,6,1,1
7567851,1,1,1,1,7,1,1
7567852,1,1,1,5,6,1,2
7567853,1,1,1,1,6,1,1
7567854,1,1,1,1,4,1,1
7567855,1,1,1,1,4,1,1
7567857,1,1,1,1,6,1,1
7567858,1,1,1,1,6,1,1
7567859,1,1,1,5,6,1,1
7567860,1,1,1,1,4,1,1
7567862,1,1,1,1,4,1,1
7567863,1,1,1,1,4,1,1
7567864,1,1,1,1,4,1,1
7567865,1,1,1,1,4,1,1
7567866,1,1,1,1,4,1,1
7567869,1,1,1,1,6,1,1
